Test,window_size,window_start,p_value,accept,stat_obs,stat_crit
Chi2_Test(nb_bins = 10),1000,0,0.0,False,976.9599999999999,16.918977604620448
"Gap_Test( intervall =  [ 0.1 , 0.4 ] )",1000,0,0.04608265054220417,False,15.751212282482362,15.507313055865453
K-S_Test,1000,0,0.0,False,15.748142747638529,1.3580986393225505
Maximum_Test ( group_size = 5 ),1000,0,0.0,False,10553.391616129775,1.3580986393225505
Poker_Test( group_size = 5),1000,0,5.891482123598912e-06,False,26.998548497267763,7.814727903251179
Coupon_Collector_Test (nb_coupon = 6),1000,0,0.6142118517877896,True,8.149753870712484,18.307038053275146
