Test,window_size,window_start,p_value,accept,stat_obs,stat_crit
Chi2_Test(nb_bins = 10),1000,0,0.878618179289271,True,4.46,16.918977604620448
"Gap_Test( intervall =  [ 0.1 , 0.4 ] )",1000,0,0.503162545566018,True,8.310712061010765,16.918977604620448
K-S_Test,1000,0,0.9680503039929106,True,0.49333198666565486,1.3580986393225505
Maximum_Test ( group_size = 5 ),1000,0,0.8992344420219958,True,0.571838247233988,1.3580986393225505
Poker_Test( group_size = 5),1000,0,0.0,False,654.6189805327867,7.814727903251179
Coupon_Collector_Test (nb_coupon = None),1000,0,0.9976675981250936,True,0.04289210652451844,7.814727903251179
